==================================================
TRAINING/EVALUATION RESULTS
==================================================
Timestamp: 20250901_184535
Mode: reinforcement_learning
Config File: configs/nsfnet_25_commodities_rl.json
Model Hash: unknown

FINAL METRICS:
  Final Train Loss: 0.0000
  Final Train Edge Error: 0.19%
  Final Test Approximation Rate: 84.04%
  Best Test Approximation Rate: 100.00%

TIME METRICS:
  Total Training Time: 4982.86s
  Total Test Time: 465.85s
  Average Training Time per Epoch: 1.56s
  Average Test Time per Epoch: 1.46s
  Training Time per Data: 0.0005s
  Test Time per Data: 0.0045s
  Total Training Samples: 10240000
  Total Test Samples: 102400

==================================================
DETAILED RESULTS
==================================================
Epoch  Train Loss   Edge Error   Train Time   Val Approx   Test Approx 
------------------------------------------------------------------------
1      0.0006       0.15         1.58         N/A          96.98%      
2      0.0006       0.13         1.54         N/A          89.38%      
3      0.0003       0.11         1.52         N/A          88.32%      
4      0.0001       0.16         1.55         N/A          82.27%      
5      0.0001       0.11         1.54         N/A          92.17%      
6      0.0002       0.09         1.53         N/A          89.04%      
7      0.0001       0.02         1.53         N/A          87.74%      
8      0.0000       0.08         1.53         N/A          86.66%      
9      0.0001       0.08         1.58         N/A          85.89%      
10     0.0000       0.12         1.54         N/A          82.32%      
11     0.0000       0.04         1.56         N/A          88.70%      
12     0.0000       0.02         1.54         N/A          77.70%      
13     0.0000       0.04         1.54         N/A          98.43%      
14     0.0000       0.09         1.50         N/A          98.64%      
15     0.0000       0.10         1.55         N/A          76.55%      
16     0.0000       0.11         1.54         N/A          83.32%      
17     0.0000       0.15         1.51         N/A          91.29%      
18     0.0000       0.12         1.55         N/A          97.18%      
19     0.0001       0.30         1.55         N/A          74.83%      
20     0.0000       0.02         1.57         N/A          70.94%      
21     0.0001       0.33         1.57         N/A          94.57%      
22     0.0000       0.03         1.54         N/A          81.09%      
23     0.0000       0.12         1.51         N/A          61.76%      
24     0.0000       0.20         1.53         N/A          86.24%      
25     0.0000       0.10         1.50         N/A          100.00%     
26     0.0000       0.23         1.52         N/A          76.69%      
27     0.0000       0.16         1.53         N/A          84.54%      
28     0.0000       0.09         1.49         N/A          73.80%      
29     0.0000       0.07         1.55         N/A          87.82%      
30     0.0000       0.21         1.55         N/A          100.00%     
31     0.0000       0.01         1.55         N/A          73.74%      
32     0.0000       0.07         1.54         N/A          64.68%      
33     0.0000       0.09         1.55         N/A          90.13%      
34     0.0000       0.21         1.53         N/A          86.56%      
35     0.0000       0.04         1.50         N/A          92.64%      
36     0.0000       0.03         1.51         N/A          74.08%      
37     0.0000       0.07         1.57         N/A          83.37%      
38     0.0000       0.11         1.49         N/A          84.08%      
39     0.0000       0.09         1.50         N/A          66.52%      
40     0.0000       0.09         1.52         N/A          86.12%      
41     0.0000       0.08         1.54         N/A          80.25%      
42     0.0000       0.03         1.52         N/A          88.38%      
43     0.0000       0.07         1.52         N/A          87.70%      
44     0.0000       0.00         1.55         N/A          77.07%      
45     0.0000       0.02         1.53         N/A          92.06%      
46     0.0000       0.03         1.49         N/A          83.45%      
47     0.0000       0.06         1.51         N/A          83.97%      
48     0.0000       0.05         1.53         N/A          78.33%      
49     0.0000       0.18         1.52         N/A          79.18%      
50     0.0000       0.23         1.57         N/A          87.12%      
51     0.0000       0.20         1.54         N/A          79.78%      
52     0.0000       0.07         1.55         N/A          84.78%      
53     0.0000       0.32         1.56         N/A          98.72%      
54     0.0000       0.11         1.54         N/A          67.77%      
55     0.0000       0.10         1.60         N/A          74.02%      
56     0.0000       0.10         1.62         N/A          84.78%      
57     0.0000       0.17         1.55         N/A          88.31%      
58     0.0000       0.17         1.56         N/A          75.99%      
59     0.0000       0.13         1.54         N/A          72.70%      
60     0.0000       0.13         1.59         N/A          89.77%      
61     0.0000       0.04         1.55         N/A          87.82%      
62     0.0000       0.25         1.53         N/A          84.53%      
63     0.0000       0.07         1.52         N/A          75.03%      
64     0.0000       0.10         1.53         N/A          71.77%      
65     0.0000       0.15         1.57         N/A          100.00%     
66     0.0000       0.13         1.53         N/A          89.49%      
67     0.0000       0.05         1.51         N/A          78.19%      
68     0.0000       0.12         1.54         N/A          83.02%      
69     0.0000       0.18         1.54         N/A          89.52%      
70     0.0000       0.32         1.55         N/A          90.50%      
71     0.0000       0.03         1.51         N/A          70.50%      
72     0.0000       0.07         1.52         N/A          92.13%      
73     0.0000       0.06         1.52         N/A          75.78%      
74     0.0000       0.12         1.61         N/A          88.21%      
75     0.0000       0.07         1.52         N/A          81.13%      
76     0.0000       0.19         1.59         N/A          75.13%      
77     0.0000       0.12         1.52         N/A          100.00%     
78     0.0000       0.08         1.51         N/A          89.57%      
79     0.0000       0.07         1.58         N/A          80.46%      
80     0.0000       0.23         1.56         N/A          72.40%      
81     0.0000       0.28         1.56         N/A          69.71%      
82     0.0000       0.20         1.52         N/A          77.02%      
83     0.0000       0.10         1.53         N/A          91.55%      
84     0.0000       0.12         1.56         N/A          57.86%      
85     0.0000       0.08         1.56         N/A          95.03%      
86     0.0000       0.03         1.56         N/A          89.51%      
87     0.0000       0.00         1.53         N/A          90.72%      
88     0.0000       0.05         1.50         N/A          64.98%      
89     0.0000       0.02         1.52         N/A          87.93%      
90     0.0000       0.02         1.52         N/A          86.61%      
91     0.0000       0.15         1.55         N/A          91.11%      
92     0.0000       0.14         1.51         N/A          70.46%      
93     0.0000       0.12         1.59         N/A          90.65%      
94     0.0000       0.03         1.50         N/A          87.80%      
95     0.0000       0.12         1.58         N/A          73.63%      
96     0.0000       0.15         1.55         N/A          87.45%      
97     0.0000       0.17         1.54         N/A          84.29%      
98     0.0000       0.03         1.53         N/A          100.00%     
99     0.0000       0.11         1.56         N/A          77.75%      
100    0.0000       0.19         1.54         N/A          96.32%      
101    0.0000       0.01         1.54         N/A          87.51%      
102    0.0000       0.16         1.51         N/A          66.60%      
103    0.0000       0.20         1.58         N/A          84.14%      
104    0.0000       0.01         1.52         N/A          82.39%      
105    0.0001       0.23         1.57         N/A          84.08%      
106    0.0000       0.03         1.53         N/A          70.62%      
107    0.0000       0.01         1.51         N/A          73.53%      
108    0.0000       0.11         1.54         N/A          81.85%      
109    0.0000       0.15         1.61         N/A          92.15%      
110    0.0000       0.04         1.53         N/A          68.67%      
111    0.0000       0.01         1.53         N/A          93.59%      
112    0.0000       0.03         1.54         N/A          73.10%      
113    0.0000       0.06         1.57         N/A          56.87%      
114    0.0000       0.22         1.61         N/A          79.82%      
115    0.0000       0.07         1.58         N/A          70.38%      
116    0.0000       0.03         1.54         N/A          71.82%      
117    0.0000       0.04         1.54         N/A          81.00%      
118    0.0000       0.34         1.57         N/A          79.85%      
119    0.0000       0.01         1.53         N/A          89.14%      
120    0.0000       0.24         1.52         N/A          100.00%     
121    0.0000       0.04         1.55         N/A          98.30%      
122    0.0001       0.13         1.54         N/A          79.13%      
123    0.0000       0.03         1.46         N/A          72.58%      
124    0.0000       0.07         1.55         N/A          96.97%      
125    0.0000       0.09         1.54         N/A          100.00%     
126    0.0000       0.00         1.48         N/A          87.00%      
127    0.0000       0.03         1.52         N/A          77.11%      
128    0.0000       0.03         1.51         N/A          100.00%     
129    0.0000       0.15         1.51         N/A          80.82%      
130    0.0000       0.17         1.55         N/A          89.11%      
131    0.0000       0.08         1.59         N/A          97.88%      
132    0.0000       0.02         1.52         N/A          68.79%      
133    0.0000       0.10         1.54         N/A          85.75%      
134    0.0000       0.19         1.53         N/A          81.45%      
135    0.0000       0.14         1.56         N/A          89.38%      
136    0.0000       0.18         1.58         N/A          93.70%      
137    0.0000       0.21         1.51         N/A          74.74%      
138    0.0000       0.07         1.55         N/A          94.71%      
139    0.0000       0.10         1.53         N/A          77.01%      
140    0.0000       0.04         1.55         N/A          75.83%      
141    0.0000       0.24         1.56         N/A          92.98%      
142    0.0000       0.07         1.56         N/A          88.28%      
143    0.0000       0.16         1.59         N/A          77.30%      
144    0.0000       0.05         1.53         N/A          78.32%      
145    0.0000       0.08         1.48         N/A          73.38%      
146    0.0000       0.05         1.51         N/A          87.10%      
147    0.0000       0.04         1.54         N/A          92.37%      
148    0.0000       0.13         1.55         N/A          83.65%      
149    0.0000       0.05         1.51         N/A          72.22%      
150    0.0000       0.20         1.55         N/A          84.52%      
151    0.0000       0.15         1.57         N/A          89.20%      
152    0.0000       0.14         1.59         N/A          100.00%     
153    0.0000       0.05         1.52         N/A          84.51%      
154    0.0000       0.10         1.55         N/A          84.02%      
155    0.0000       0.17         1.56         N/A          81.65%      
156    0.0000       0.08         1.54         N/A          78.39%      
157    0.0000       0.29         1.58         N/A          100.00%     
158    0.0000       0.26         1.55         N/A          100.00%     
159    0.0000       0.15         1.51         N/A          77.01%      
160    0.0000       0.19         1.53         N/A          90.16%      
161    0.0000       0.00         1.54         N/A          95.03%      
162    0.0000       0.13         1.53         N/A          100.00%     
163    0.0000       0.11         1.54         N/A          94.24%      
164    0.0000       0.04         1.52         N/A          85.97%      
