trial,timestamp,learning_rate,hidden_dim,num_layers,dropout_rate,max_epochs,test_approximation_rate,val_approximation_rate,test_infeasible_rate,val_infeasible_rate,test_mean_load_factor,val_mean_load_factor,test_loss,val_loss,test_time,val_time
0,2025-09-23T16:10:53.448525,0.001,32,5,0.2,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
1,2025-09-23T16:10:53.549051,0.001,32,5,0.2,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
2,2025-09-23T16:10:53.630896,0.001,32,5,0.2,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
3,2025-09-23T16:10:53.710240,0.001,32,5,0.2,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
4,2025-09-23T16:10:53.789829,0.001,32,5,0.3,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
5,2025-09-23T16:10:53.870168,0.001,32,5,0.3,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
6,2025-09-23T16:10:53.950704,0.001,32,5,0.3,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
7,2025-09-23T16:10:54.031122,0.001,32,5,0.3,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
8,2025-09-23T16:10:54.111432,0.001,32,5,0.4,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
9,2025-09-23T16:10:54.192391,0.001,32,5,0.4,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
10,2025-09-23T16:10:54.273098,0.001,32,5,0.4,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
11,2025-09-23T16:10:54.353530,0.001,32,5,0.4,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
12,2025-09-23T16:10:54.436711,0.001,32,10,0.2,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
13,2025-09-23T16:10:54.519842,0.001,32,10,0.2,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
14,2025-09-23T16:10:54.602625,0.001,32,10,0.2,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
15,2025-09-23T16:10:54.685550,0.001,32,10,0.2,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
16,2025-09-23T16:10:54.768180,0.001,32,10,0.3,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
17,2025-09-23T16:10:54.851286,0.001,32,10,0.3,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
18,2025-09-23T16:10:54.934160,0.001,32,10,0.3,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
19,2025-09-23T16:10:55.098939,0.001,32,10,0.3,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
20,2025-09-23T16:10:55.181778,0.001,32,10,0.4,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
21,2025-09-23T16:10:55.265168,0.001,32,10,0.4,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
22,2025-09-23T16:10:55.347677,0.001,32,10,0.4,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
23,2025-09-23T16:10:55.431334,0.001,32,10,0.4,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
24,2025-09-23T16:10:55.516883,0.001,32,15,0.2,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
25,2025-09-23T16:10:55.603088,0.001,32,15,0.2,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
26,2025-09-23T16:10:55.689079,0.001,32,15,0.2,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
27,2025-09-23T16:10:55.774675,0.001,32,15,0.2,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
28,2025-09-23T16:10:55.860606,0.001,32,15,0.3,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
29,2025-09-23T16:10:55.947123,0.001,32,15,0.3,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
30,2025-09-23T16:10:56.033008,0.001,32,15,0.3,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
31,2025-09-23T16:10:56.118292,0.001,32,15,0.3,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
32,2025-09-23T16:10:56.204191,0.001,32,15,0.4,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
33,2025-09-23T16:10:56.289791,0.001,32,15,0.4,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
34,2025-09-23T16:10:56.376143,0.001,32,15,0.4,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
35,2025-09-23T16:10:56.462512,0.001,32,15,0.4,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
36,2025-09-23T16:10:56.547271,0.001,64,5,0.2,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
37,2025-09-23T16:10:56.627942,0.001,64,5,0.2,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
38,2025-09-23T16:10:56.707630,0.001,64,5,0.2,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
39,2025-09-23T16:10:56.787364,0.001,64,5,0.2,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
40,2025-09-23T16:10:56.866343,0.001,64,5,0.3,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
41,2025-09-23T16:10:56.945374,0.001,64,5,0.3,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
42,2025-09-23T16:10:57.024147,0.001,64,5,0.3,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
43,2025-09-23T16:10:57.103496,0.001,64,5,0.3,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
44,2025-09-23T16:10:57.182729,0.001,64,5,0.4,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
45,2025-09-23T16:10:57.262004,0.001,64,5,0.4,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
46,2025-09-23T16:10:57.340650,0.001,64,5,0.4,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
47,2025-09-23T16:10:57.419885,0.001,64,5,0.4,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
48,2025-09-23T16:10:57.501697,0.001,64,10,0.2,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
49,2025-09-23T16:10:57.583370,0.001,64,10,0.2,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
50,2025-09-23T16:10:57.665050,0.001,64,10,0.2,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
51,2025-09-23T16:10:57.747431,0.001,64,10,0.2,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
52,2025-09-23T16:10:57.829724,0.001,64,10,0.3,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
53,2025-09-23T16:10:57.911641,0.001,64,10,0.3,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
54,2025-09-23T16:10:57.993228,0.001,64,10,0.3,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
55,2025-09-23T16:10:58.075060,0.001,64,10,0.3,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
56,2025-09-23T16:10:58.156676,0.001,64,10,0.4,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
57,2025-09-23T16:10:58.238269,0.001,64,10,0.4,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
58,2025-09-23T16:10:58.319551,0.001,64,10,0.4,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
59,2025-09-23T16:10:58.401721,0.001,64,10,0.4,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
60,2025-09-23T16:10:58.486045,0.001,64,15,0.2,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
61,2025-09-23T16:10:58.570963,0.001,64,15,0.2,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
62,2025-09-23T16:10:58.655245,0.001,64,15,0.2,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
63,2025-09-23T16:10:58.739528,0.001,64,15,0.2,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
64,2025-09-23T16:10:58.823601,0.001,64,15,0.3,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
