trial,timestamp,learning_rate,hidden_dim,num_layers,dropout_rate,test_approximation_rate,val_approximation_rate,test_infeasible_rate,val_infeasible_rate,test_mean_load_factor,val_mean_load_factor,test_loss,val_loss,test_time,val_time
0,2025-09-25T15:43:17.292771,0.001,32,5,0.2,tensor(66.8213),tensor(67.0372),0.0,0.0,tensor(0.4915),tensor(0.4862),0.6713455729186535,0.6717579625546932,8.386433839797974,8.337637186050415
1,2025-09-25T15:47:20.598645,0.001,32,5,0.3,tensor(66.8213),tensor(67.0372),0.0,0.0,tensor(0.4915),tensor(0.4862),0.6713455729186535,0.6717579625546932,8.52440595626831,8.448062181472778
2,2025-09-25T15:51:23.896818,0.001,32,5,0.4,tensor(66.8213),tensor(67.0372),0.0,0.0,tensor(0.4915),tensor(0.4862),0.6713455729186535,0.6717579625546932,8.4937105178833,8.3660569190979
3,2025-09-25T15:56:53.587028,0.001,32,10,0.2,tensor(66.8417),tensor(67.2679),0.0,0.0,tensor(0.4913),tensor(0.4845),0.7698848582804203,0.7700784988701344,8.750144004821777,8.589513063430786
4,2025-09-25T16:02:23.559539,0.001,32,10,0.3,tensor(66.8417),tensor(67.2679),0.0,0.0,tensor(0.4913),tensor(0.4845),0.7698848582804203,0.7700784988701344,8.610265731811523,8.597614765167236
5,2025-09-25T16:07:53.379442,0.001,32,10,0.4,tensor(66.8417),tensor(67.2679),0.0,0.0,tensor(0.4913),tensor(0.4845),0.7698848582804203,0.7700784988701344,8.676570177078247,8.600008249282837
6,2025-09-25T16:14:50.807501,0.001,32,15,0.2,tensor(67.4655),tensor(67.6604),0.0,0.0,tensor(0.4868),tensor(0.4817),0.5807432346045971,0.5813532434403896,8.809947729110718,8.729416608810425
7,2025-09-25T16:21:48.389604,0.001,32,15,0.3,tensor(67.4655),tensor(67.6604),0.0,0.0,tensor(0.4868),tensor(0.4817),0.5807432346045971,0.5813532434403896,8.853197574615479,8.70566177368164
8,2025-09-25T16:28:44.438809,0.001,32,15,0.4,tensor(67.4655),tensor(67.6604),0.0,0.0,tensor(0.4868),tensor(0.4817),0.5807432346045971,0.5813532434403896,8.8683762550354,8.80301284790039
9,2025-09-25T16:33:22.822125,0.001,64,5,0.2,tensor(66.9731),tensor(67.2612),0.0,0.0,tensor(0.4904),tensor(0.4846),0.5538299083709717,0.5541959926486015,8.625232219696045,8.544167280197144
10,2025-09-25T16:38:00.975141,0.001,64,5,0.3,tensor(66.9731),tensor(67.2612),0.0,0.0,tensor(0.4904),tensor(0.4846),0.5538299083709717,0.5541959926486015,8.619330883026123,8.583776712417603
11,2025-09-25T16:42:38.908121,0.001,64,5,0.4,tensor(66.9731),tensor(67.2612),0.0,0.0,tensor(0.4904),tensor(0.4846),0.5538299083709717,0.5541959926486015,8.541345596313477,8.452152967453003
